DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:01:44,42.0,10.0,18.0,1483.0,525.0,20.9,21.75,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:03:45,42.0,10.0,19.0,1500.0,523.0,20.88,21.75,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:05:45,42.0,10.0,19.0,1485.0,523.0,20.87,21.75,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:07:45,41.0,10.0,19.0,1494.0,523.0,20.86,21.75,0.0,39.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:09:45,41.0,10.0,18.0,1484.0,523.0,20.87,21.76,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:11:45,42.0,10.0,18.0,1501.0,522.0,20.86,21.77,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:13:45,42.0,10.0,18.0,1501.0,524.0,20.86,21.77,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:15:45,42.0,10.0,19.0,1493.0,525.0,22.23,21.77,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:17:45,42.0,10.0,19.0,1484.0,525.0,22.22,21.77,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:19:45,42.0,10.0,18.0,1501.0,524.0,20.84,21.77,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:21:45,42.0,10.0,18.0,1491.0,525.0,20.85,21.77,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:23:45,42.0,10.0,18.0,1504.0,523.0,20.84,21.78,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:25:45,42.0,10.0,18.0,1508.0,524.0,20.82,21.78,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:27:45,42.0,10.0,18.0,1496.0,525.0,20.82,21.78,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:29:45,42.0,10.0,18.0,1500.0,528.0,22.2,21.78,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:31:46,42.0,10.0,18.0,1483.0,524.0,20.82,21.79,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:33:46,42.0,10.0,18.0,1507.0,525.0,20.81,21.8,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:35:46,42.0,10.0,19.0,1501.0,524.0,22.19,21.79,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:37:46,41.0,10.0,19.0,1483.0,525.0,20.8,21.79,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:39:46,41.0,10.0,18.0,1497.0,526.0,22.17,21.79,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:41:46,41.0,10.0,19.0,1475.0,524.0,20.78,21.79,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:43:46,41.0,10.0,18.0,1485.0,525.0,20.78,21.79,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:45:46,42.0,10.0,18.0,1494.0,524.0,20.78,21.8,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:47:46,41.0,10.0,18.0,1494.0,528.0,20.76,21.8,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:49:46,41.0,10.0,18.0,1487.0,523.0,20.75,21.8,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:51:46,41.0,10.0,19.0,1483.0,522.0,22.13,21.8,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 01:53:46,41.0,10.0,19.0,1478.0,520.0,20.73,21.78,0.0,35.0,0.0,0.0,0.0,0.0,0.0
