DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:01:08,25.0,10.0,18.0,1377.0,545.0,23.27,21.45,0.0,38.0,0.99,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:03:08,25.0,10.0,19.0,1377.0,544.0,20.51,21.46,0.0,33.0,0.82,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:05:08,25.0,10.0,18.0,1383.0,546.0,21.87,21.46,0.0,33.0,0.5,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:07:09,25.0,10.0,18.0,1374.0,547.0,21.87,21.48,0.0,36.0,0.52,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:09:09,25.0,10.0,18.0,1380.0,548.0,21.86,21.48,0.0,35.0,0.37,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:11:09,25.0,10.0,19.0,1388.0,546.0,21.85,21.49,0.0,37.0,0.32,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:13:09,25.0,10.0,18.0,1370.0,547.0,21.86,21.51,0.0,32.0,0.92,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:15:09,25.0,10.0,19.0,1392.0,549.0,20.46,21.5,0.0,36.0,0.7,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:17:09,25.0,10.0,18.0,1404.0,549.0,20.46,21.51,0.0,29.0,0.96,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:19:09,25.0,9.0,17.0,1410.0,550.0,21.84,21.52,0.0,38.0,1.08,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:21:09,25.0,10.0,18.0,1396.0,549.0,21.83,21.52,0.0,31.0,0.98,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:23:09,25.0,10.0,18.0,1408.0,550.0,23.21,21.53,0.0,36.0,0.79,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:25:09,25.0,10.0,18.0,1384.0,549.0,21.83,21.53,0.0,31.0,1.38,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:27:09,25.0,10.0,18.0,1401.0,552.0,20.44,21.54,0.0,28.0,0.89,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:29:10,25.0,10.0,18.0,1400.0,547.0,21.82,21.54,0.0,33.0,0.66,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:31:10,25.0,10.0,19.0,1404.0,550.0,20.43,21.55,0.0,31.0,0.72,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:33:10,25.0,10.0,18.0,1399.0,549.0,20.43,21.55,0.0,32.0,0.71,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:35:10,25.0,10.0,19.0,1411.0,551.0,23.19,21.55,0.0,32.0,0.39,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:37:10,25.0,10.0,18.0,1408.0,550.0,21.81,21.55,0.0,29.0,0.82,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:39:10,25.0,10.0,18.0,1397.0,550.0,20.43,21.56,0.0,30.0,0.44,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:41:10,25.0,10.0,18.0,1402.0,548.0,20.41,21.56,0.0,33.0,0.57,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:43:10,25.0,10.0,19.0,1419.0,551.0,21.78,21.57,0.0,36.0,0.64,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:45:10,25.0,10.0,19.0,1400.0,549.0,21.78,21.57,0.0,33.0,0.87,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:47:10,25.0,11.0,20.0,1388.0,551.0,20.39,21.58,0.0,29.0,0.83,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:49:10,25.0,11.0,20.0,1405.0,551.0,20.39,21.58,0.0,37.0,0.82,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:51:10,25.0,10.0,19.0,1411.0,550.0,20.38,21.59,0.0,35.0,0.97,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:53:10,25.0,10.0,19.0,1415.0,551.0,21.75,21.58,0.0,41.0,0.88,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:55:10,25.0,10.0,19.0,1414.0,553.0,20.37,21.58,0.0,32.0,0.87,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:57:10,25.0,10.0,19.0,1418.0,550.0,20.36,21.59,0.0,31.0,0.53,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 00:59:11,25.0,10.0,18.0,1398.0,552.0,20.37,21.6,0.0,38.0,0.65,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 01:01:11,25.0,10.0,18.0,1413.0,552.0,21.73,21.6,0.0,32.0,1.09,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 01:03:11,25.0,10.0,18.0,1421.0,554.0,20.35,21.6,0.0,32.0,0.79,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 01:05:11,25.0,11.0,20.0,1397.0,553.0,20.35,21.61,0.0,41.0,1.01,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 01:07:11,25.0,11.0,20.0,1406.0,553.0,20.33,21.61,0.0,30.0,0.65,0.03,0.01,0.0,0.0
Device 10000011,d369b400-144d-11ec-80c8-b1d8e607054f,2022-05-01 01:09:11,25.0,10.0,18.0,1414.0,554.0,21.71,21.62,0.0,32.0,0.5,0.03,0.01,0.0,0.0
